id,google_place_id,name,types,rating,latitude,longitude,formatted_address,formatted_phone_number,website,research_notes,research_status,research_last_attempted,research_attempts,location_id,is_featured,display_order,photo_reference
76,ChIJyxP17q3h2IgRBlEzCeRww5o,Heidi Apt,lodging|point_of_interest|establishment,5.0,26.3681886,-80.0925862,"1960 Northwest 4th Avenue, Boca Raton",,,,completed,,0,26,false,,
80,ChIJU2_u04FFwokRzjzob5IaDc4,Bay Ridge Holiday House,lodging|point_of_interest|establishment,5.0,40.6246727,-74.02041109999999,"635 79th Street, Brooklyn",,,,completed,,0,28,false,,AeeoHcIiSiUoOMTdecV7-yIzFAm_fsgVm8acXehrICORcT4JQHWtgKjnDqpOODiJh2l3_8NM8UDxz74X2BCD0ZdlchY7CFrKP_bpB8XhMAUElsjN-P3wc5JOwzrsmSbtOUukTL7yFRiLrUqshC9bULMotLjUGz9SEHwJqvCry7OHLy-PypXx9bSjq_iNYSHbjOlaKxckhrHN24VvvM8pkmUfyZlfRjGpN-5aNxGgALm_TTRM2PJPtk8W38nN6u5E-5QYDCi4nZ6-W8apq5q_n83yugwVC59YnYpV5Pu_s5FXzUqkz94fx2D-n0FOuh2YxivNmDrHeVJC2bKddlINqvLRs8zL51Juf94jea6ryidgn2LZBS0Dfb19aELtt7EMHrs5Om3bhvtb6jo2IIClK8ws57T-9yqfJcdRB-Jl6-7xlQUHaWt70UrQ7oEbIATF4tgwa28K5RN6Up0qAoqTMu7SKvJMCO31eP1NI8EafYzuybn4r5ZWB56vYOZrumQ-Exm6GQKfLPJpNnri33P6XDAsft8CshZZbzyZx86smfyFnSLSH1r9i250TOyBu41CDh0zDn34S8XvPMrrfOYpDndXpoF7-AwDW9AgBP7LW0VKGGYCT23CiTP8Qqv8yD6lFDbga6RZJpVvG9q8vR2h6hJQjBjD0Qc
72,ChIJF6l84Jvh2ogR1Tk3VNqc8eU,Bellasera Hotel,lodging|point_of_interest|establishment,4.7,26.1456456,-81.7945502,"221 9th Street South, Naples",,,,completed,,0,25,false,,AeeoHcJjVUJndRGmNMvwn01Bm5vx5frUt0C1bw7lICbv-BY5shEa69aBTpUby7_62a6TGE1mh8BFweRXLlfKOvaML9xhzrzuUUYeXhBRYVH_kCguABc6HSAKstxijGaJcQC-XL8VDqJxOlX-tZeFMBS15ZjZ0df4WJkvaSFgOBm0HGLOYDC5Y91zkt-91QuiOc1uuVjbXY2V9cEJhLLPI9ynWNMs98HnoDBcxoxBj47CPGHBe12CvrWDI9jXQhKnrNHZkhQPakIWfzoRO4QLM4fuJdMYXHwNEULtrg6MFpw-xhKfVlzCuKL2E9AZFpJ7rNJmD2h07ITMSIo
78,ChIJm3hPERvi2IgR7x2MS9A89ws,Hyatt Place Boca Raton/Downtown,lodging|point_of_interest|establishment,4.3,26.3500704,-80.0860088,"100 East Palmetto Park Road, Boca Raton",,,,completed,,0,26,false,,AeeoHcLfe0WgjWyhCXxIv9DzJAQdowYgU2tId_hikgmR4IPGAP0xgTwG1mvYsQ7Yezmhjyd8bgHN2a1Ny0I58cpucvwikQDlvLhofAbjsiHV8LLjY3tjydmIDtKM1hnNXEfwaq8xPzHduBgV5YqRGcEZ-WZUenUcTxYJY09L_tmColBXqwQjYtNWdgTAUJqroK3cMvbNtJB5KxCvfHCTBaz9X0mc7YfZhPrY2PUhk2np2Ku6yZnzn0F6H8QK97cRuKQ_C0_QfVrHKNGNTwLNVA6JOcnasl7CM7LiS1Mg6urPs4Y8zulyuw_9_FLXtCWxpo8sd6NzX7JaMso
77,ChIJRd1tsITj2IgR5rg0VLDaP9Y,Bungalows at The Boca Raton,lodging|point_of_interest|establishment,4.7,26.3480317,-80.07774789999999,"501 East Camino Real, Boca Raton",,,,completed,,0,26,false,,AeeoHcJ5fBTdSq7F8P-ZwPeeBkpwWQncJs7CGGvhJBAjqYPl_1s46iUTQJ-_7_TBrkiw9suw5BXWwoVCZZu0ZwLl8I1blK7YrJhBymYYu03FNZCBMtJiCiCDfLoFbDPGWgxpXMkBts8Rbd3GEyphxodhTWsvNYC0ly7ZuaPTJUdqRM6DDdMMWFMRMGR5O7LBw0JfLPD_IB5CYhMULrJ456hs_k5qrXYOdeq66MEsWLyRu0Bq3MxWpLG_U7MWEe_amo6tgQSB8ykAcc7Bpj6HhtWkPG_NMr3Hsf9dGG4lKkbcFr2Yro9VRPFaZHErFq3-sVkoAmacRCVCO0Y
79,ChIJd0xB9Yfj2IgRCieQIeign54,365 Ocean,lodging|point_of_interest|establishment,4.3,26.3538746,-80.0706484,"365 North Ocean Boulevard, Boca Raton",,,,completed,,0,26,false,,AeeoHcLaXJGYhDooSCIC1ZXMGGSyPfDTu6_vI4Z6u1MBI8eQ2G3nJ2P1oJW_z2ANJbf4SHnwr8ihzeCknpyjE2apcDc21KFCtV9kTg1vwQDaJf7b7eUgn9E5llqo6pP1BGUhF0jpf-IE0M9XSdwRdWncVd85gIPZ_drL0Ii-vyL55mu640vr8Jsk97dOWOr58sFAmkPTiKYHJI_nxgmchXJ9C8Eim0AkMhECMkoj2p1jT3d2syU2JkaD6GQAE24JdyS46GWhtQKvBN9m9owYdyNdAG022EJ_JfoS0wZQ5VwjGQYKYsuLwCUKf-atpgI5bMIRErdEZGPsaOA
82,ChIJDySOkptFwokRhES_O0VKz0M,avid hotel Brooklyn - Dyker Heights by IHG,lodging|point_of_interest|establishment,4.5,40.618805,-74.022375,"636 86th Street, Brooklyn",,,,completed,,0,28,false,,AeeoHcJ6AkYLMZkPSEKMVnwjmkZV_s5lZZv5VcWgcYFdjP5RJY42RPSibhuzLx4IPkjzw60avay2j70iDlHLJTiuUFrGiBndVNKiSAXdVDAfQlrKaASz0ddLZ8BLo4YvB0ybO343B73aC85_W2jkw4p4XTLEQkTkzQD9fq6J-VtLrOMAO1bUxRM-AD4zyZJyws8VJUDzUGLvsMKGM92JiG2_BbAXzSUiXN1_Ss_3GCFuCyy3Ns3TaxhtlrJCExIWr1EIo5FO4TATu5R3MXbCWs3elRV5HqtDtIsvQrvq3AL8Uf9IDgYR7IEk1kEE9xm2rwnXI24XAZ-zDn0
86,ChIJe8Or01Y25IgRee9NrjQN220,TPC Sawgrass,lodging|restaurant|food|point_of_interest|establishment,4.8,30.1980018,-81.3955144,"110 Championship Way, Ponte Vedra Beach",,,,completed,,0,29,false,,AeeoHcLHDpejdP5NZkwdkyp5ApY8z79cI7WhSL6wcFGTmoeiJ8a6nssnuaWDP24EmF6YYmP2Mjq6a1QOCjH1kPoEtP0BgGOicykKs2QpfZum4_xlnmHgsGlilRA2aHqMAon6r6Z1bkAoRFBu0Ag-8k-fxwhj9zah1Y43G8YH6SjjqmB5xMPDj8EJSp5H58Br8dpCf0RViopB4MdtDyP6gcNkWmQzb5AigXNm69SdKDjH6O6r_-9G8LzDRJqFxFBDQ8IRaP4G7SYtydDdNi617mhPX90T7p4SYAn7aTlJ6ORfpG3f_5Z_NxZsuQb4HPYeGWhJ1n2lAiDiHIeIj4WvRcn4GIipERzIbbeP11ALRWrSOoHIacVIu5D7EyihWNWXFiDHCp3OQWbiI4NsCNXw3qY56MlLZCF8tjnwNqz6MVOTCFYnafVgtwtxS5Isz97W_A7Zi2NkpiFzB_k42NFfU1oe_pnUYybbGMSpPsGytFJhcE-ySWX1YmjVBxpapAfMMD_0ZxMhB1pB8pHoH_0UiyCN0qjgzWLN8V_dxLDlNLQLe2-FVM_MpDhllf5ctKI809KRqkDGopqMJf8p1Y-92Vyu4XsHPZ4hoQ-eKlXu66rL-M7uJ1ezbJqnK2ap9EUCOwDccDdqpyH6
88,ChIJpzWRnFQ25IgR17PLMggH5a8,Sawgrass Marriott Golf Resort & Spa,lodging|point_of_interest|establishment,4.3,30.2030515,-81.384602,"1000 Tournament Players Club Boulevard, Ponte Vedra Beach",,,,completed,,0,29,false,,AeeoHcKYy6vldU9yt4ih2rZmjA3OwFlMlWhukq9_ZpyamPuQuQi0pPWfe86ahzMy87woOm9IQqMhRxOkIl8LiYPz6slfs--jiWc1cK6YZeF7STcPnMHTy70ndv51QUUsZ6AsSeofF7-mgMQZPD0Jy7uApZ83AbuiL4ykyp7-xG4lQ_-Tn7GPccF9AbolMh_pneRzvpxhLwyNZkmYF6OfEsjxKs9hexHAMMCpWkaW6IZujLCNc2wNUIpCISPpzAb1kfaTN8ksFB2PWtDkr9CgCFbLpccgGLFqLPNHWLjRGIllf4u89G5M2oo_RGunR6rnzZY5UqvSf1zwLrY
89,ChIJG3i5zqw35IgROjmC46O_flo,Hilton Garden Inn Jacksonville Ponte Vedra Sawgrass,lodging|point_of_interest|establishment,4.3,30.2053833,-81.38393409999999,"45 Tournament Players Club Boulevard, Ponte Vedra Beach",,,,completed,,0,29,false,,AeeoHcKoqmbt4bzMEQesvE_xGYXFqUvfghR4jzxg858zWpxYOTfXhVpeE2xX02Rfxbvgx2mITrEWcvULcLovu7-wlK-WeCUahFhNdza9zT7QWH8f-TQzxyxsJTkLi2DnbGCg9MI7lKxABO0UwXTFRGiJTNTwx1XeMQaBxqbiNgMOqCm8gvP_jAzGxOQ1xMsax658HChJK66AlGIMg-8oztmMcQzS0q8CiF1r5Nyyx4GmCYNrGhpj1B3yCdpOSya_SEVwN9XSfYIN1XPKlRMMr3zchtnbBi010sSiSrF9VvhD3cWFAkm4_G4OcqkOLCAQOpx8uOihwldOCbQ
